Definition: Klinische Psychologie,"Teildisziplin der Psychologie, die sich mit psychischen Störungen und psychischen Aspekten somatischer Krankheiten befasst."
Welche zwei zentralen Wirkmechanismen zur Veränderung psychischer Störungen identifizierte Grawe (1998)?,Klären (Diagnostik/Einsicht) und Bewältigen (Problembearbeitung).
Welche vier Systemebenen werden bei der Veränderung psychischer Störungen unterschieden?,"Einzelpersonen, Paare, Familien und Gruppen."
Warum gilt die Klinische Psychologie als „Hilfswissenschaft“ für das Sozialwesen?,"Sie liefert das Basiswissen, um psychische Probleme der Klientel zu erkennen und zu verstehen, während das Sozialwesen den Fokus auf Beratung legt."
"Warum leiden laut Statistik mehr als $27,8\%$ der Bundesbürger an einer psychischen Störung?",Dieser Wert ergibt sich aus der Summe verschiedener Einzeldiagnosen und dem häufigen Auftreten von Komorbiditäten.
Was versteht man in der Klinischen Psychologie unter „Komorbidität“?,Das gleichzeitige Vorliegen von zwei oder mehr verschiedenen psychischen Störungen bei einer Person.
Definition: Psychische Störung,"Ein klinisch bedeutsames Verhaltens- oder psychisches Muster, das mit Leiden oder Beeinträchtigungen einhergeht."
Wie viele zweistellige Hauptdiagnosen (z. B. F51) gibt es im ICD-10 Kapitel F?,Es existieren insgesamt 79 verschiedene Hauptdiagnosen.
Was versteht man unter dem Begriff „Problemaktualisierung“?,Das Erlebbar-Machen der problematischen Erlebnisse und Verhaltensweisen innerhalb der therapeutischen oder beraterischen Situation.
Was bedeutet „Ressourcenorientierung“ in der klinischen Arbeit?,"Die gezielte Nutzung vorhandener Stärken, Fähigkeiten und Potenziale des Klienten zur Problembewältigung."
Welche vier Dimensionen der Angst werden unterschieden?,"Physiologische Ebene, Verhaltensebene, kognitive Ebene und emotionale Ebene."
Unter welchen drei Bedingungen wird Angst als Krankheit bzw. Störung eingestuft?,"Bei mittlerem bis schwerem Leidensdruck, psychosozialen Einschränkungen und dem Eintreten von Komplikationen."
Nenne die zentralen Schritte im „Teufelskreis-Modell“ der Angst.,Auslöser $\rightarrow$ Wahrnehmung $\rightarrow$ Gedanke „Gefahr“ $\rightarrow$ Angst $\rightarrow$ physiologische Veränderungen $\rightarrow$ körperliche Symptome.
Welche drei Bausteine der Kognitiven Verhaltenstherapie (KVT) werden bei Angststörungen eingesetzt?,"Entspannungsverfahren, Expositionsverfahren und kognitive Verfahren."
Was versteht man unter „Systematischer Desensibilisierung“?,Die schrittweise Konfrontation mit angstauslösenden Reizen in Kombination mit einem Entspannungsverfahren.
Bei welcher spezifischen Phobie sind Ohnmachtsanfälle (vasovagale Reaktionen) besonders zu befürchten?,"Blut-, Spritzen- und Verletzungsphobie."
Welche drei Phasen sind bei der Durchführung einer klinischen Exposition zu unterscheiden?,"Vorbereitung, Durchführung und Nachbereitung/Auswertung."
Nenne zwei grundlegende Methoden der Exposition hinsichtlich der Intensität.,Graduierte Exposition (schrittweise Steigerung) und Massierte Exposition (Flooding; direkt höchste Intensität).
Wie lässt sich die therapeutische Wirkung der Exposition fachwissenschaftlich erklären?,Durch den Prozess der Habituation (Gewöhnung) und das Erlernen neuer Bewältigungserfahrungen.
Welches Therapieverfahren ist bei der Panikstörung (F41.0) primär indiziert?,Exposition an körpereigenen Signalen (interozeptive Exposition) und kognitive Umstrukturierung.
Nenne zwei niedrigschwellige Maßnahmen zur Selbsthilfe gegen Depressionen.,Aktivitätsaufbau (angenehme Tätigkeiten) und die Strukturierung des Tagesablaufs.
Welche Therapieform kann die Wirksamkeit einer medikamentösen Behandlung bei Depressionen signifikant verbessern?,Die Kognitive Verhaltenstherapie (KVT) als begleitende Psychotherapie.
Auf welchen kritischen psychischen Befund muss bei der Aufnahme einer Depressionsbehandlung zwingend geachtet werden?,Auf das Vorliegen von Suizidgedanken oder akuter Suizidalität.
Warum ist normale Traurigkeit nicht mit einer klinischen Depression identisch?,"Traurigkeit ist vorübergehend, meist durch Ereignisse erklärbar und durch positive Aktivitäten unterbrechbar."
Welche drei Hauptsymptome kennzeichnen die Diagnose einer Depression nach ICD-10?,"Depressive Stimmung, Interessen- oder Freudlosigkeit sowie verminderter Antrieb/gesteigerte Ermüdbarkeit."
Was unterscheidet die Dysthymie (F34.1) von einer depressiven Episode?,"Die Dysthymie ist eine chronische, über mindestens zwei Jahre anhaltende depressive Verstimmung mit geringerem Schweregrad."
Welche Ursache für Depressionen postuliert das kognitionstheoretische Modell nach Beck?,Die Aktivierung negativer kognitiver Schemata und systematischer Denkfehler durch belastende Lebensereignisse.
Aus welchen drei Komponenten besteht die „Kognitive Triade“ bei depressiven Patienten?,"Negative Sichtweise der eigenen Person, der Umwelt und der Zukunft."
Nenne zwei Beispiele für typische kognitive Fehler bei Depressionen.,Willkürliches Schlussfolgern (Pessimismus ohne Beleg) und Übergeneralisierung.
Was ist das Hauptmerkmal somatoformer Störungen?,Wiederholte Klagen über körperliche Symptome ohne ausreichenden organischen Befund trotz medizinischer Abklärung.
Warum fühlen sich Patienten mit somatoformen Störungen oft „gekränkt“?,"Wegen einer langen „Krankheitsodyssee“, bei der sie sich von Ärzten oft nicht ernst genommen oder als „Simulanten“ abgestempelt fühlen."
Verhalten: Nenne zwei typische Verhaltensweisen somatoformer Patienten.,Häufiges „Body Scanning“ (Beobachten des Körpers) und die exzessive Suche nach Rückversicherung (Doctor Shopping).
Wann wird klinisch von einer „Somatisierungsstörung“ (F45.0) gesprochen?,"Bei einer mindestens zwei Jahre anhaltenden Dauer mit multiplen, wechselnden körperlichen Symptomen."
Wie definiert sich die „Hypochondrische Störung“ (F45.2)?,"Durch die beharrliche Überzeugung oder Angst, an einer schwerwiegenden körperlichen Krankheit zu leiden."
Was versteht man unter dem Prozess der „Amplifikation“ bei körperlichen Missempfindungen?,Die Verstärkung der Wahrnehmung körperlicher Signale durch selektive Aufmerksamkeit und katastrophisierende Bewertung.
Warum kann das Erklärungsmodell für somatoforme Störungen als „Teufelskreis“ bezeichnet werden?,"Körperliche Signale führen zu Angst, was die physiologische Erregung und damit die Symptome weiter steigert."
Nenne fünf typische Therapiebausteine zur Behandlung einer somatoformen Störung.,"Psychoedukation, Entspannungsverfahren, Umlenkung der Aufmerksamkeit, kognitive Umstrukturierung und Kompetenztraining."
Welche drei Hauptformen von Essstörungen werden unterschieden?,"Anorexia nervosa, Bulimia nervosa und Binge-Eating-Störung."
"Nenne drei psychische Auffälligkeiten, die häufig bei Essstörungen auftreten.","Störung der Körperwahrnehmung (Körperschemastörung), übermäßige Beschäftigung mit Essen und Angst vor Gewichtszunahme."
Was charakterisiert die „atypische Anorexia nervosa“?,"Es liegen alle Kernmerkmale der Magersucht vor, aber das Gewicht des Patienten befindet sich noch im Normalbereich."
"Nenne zwei Kriterien, die für einen ungünstigen Verlauf der Anorexia nervosa sprechen.",Ein sehr niedriger BMI zu Behandlungsbeginn und eine lange Krankheitsdauer vor Therapiebeginn.
Welche somatischen Ursachen müssen differentialdiagnostisch von einer Anorexie ausgeschlossen werden?,"Chronisch zehrende Krankheiten wie Tumore, Schilddrüsenerkrankungen oder entzündliche Darmerkrankungen."
Beschreibe den Teufelskreis der Essstörungen.,Rigide Kontrolle/Diät $\rightarrow$ Hunger/Mangel $\rightarrow$ Essanfall $\rightarrow$ Angst vor Zunahme/Gegenmaßnahmen $\rightarrow$ vermindertes Selbstwertgefühl.
Wann ist bei der Anorexia nervosa eine stationäre Behandlung zwingend indiziert?,"Bei erheblichem Untergewicht, rapidem Gewichtsverlust oder lebensbedrohlichen somatischen Komplikationen."
Mit welchem Verhalten ist bei Bulimia-nervosa-Patienten im Erstkontakt häufig zu rechnen?,"Mit starkem Schamgefühl und der Tendenz, die Häufigkeit der Ess-Brech-Attacken zu verheimlichen."
Was sind die wichtigsten Therapiebausteine bei Essstörungen?,"Ernährungsmanagement, Psychoedukation, kognitive Verhaltenstherapie und Rückfallprophylaxe."
Bei welcher Form von Essstörung können im Verlauf auch chirurgische Eingriffe (Adipositaschirurgie) indiziert sein?,Bei der Binge-Eating-Störung mit resultierendem massivem Übergewicht.
Was versteht man unter einem „Typ-II-Trauma“?,"Ein langandauerndes, wiederholtes traumatisches Ereignis wie z. B. häusliche Gewalt oder Kriegserlebnisse."
Welchen Einfluss hat die Art des Traumas auf das PTBS-Risiko?,Interpersonelle Traumata (z. B. Vergewaltigung) haben ein deutlich höheres Risiko zur Folge als zufällige Traumata (z. B. Naturkatastrophen).
