Nenne die vier psychischen Grundbedürfnisse nach Grawe (2004).,"Orientierung/Kontrolle, Selbstwerterhöhung/Selbstwertschutz, Lustgewinn/Unlustvermeidung und Bindung."
Was beschreibt das Grundbedürfnis nach Orientierung und Kontrolle?,"Die Fähigkeit, Ereignisse und Zustände zu erklären, vorherzusagen und zu beeinflussen."
Wie wirkt sich eine hohe Kontrollüberzeugung auf das Wohlbefinden aus?,"Sie führt zu höherer Lebenszufriedenheit, Stressresistenz und besseren Bewältigungsressourcen."
Inwiefern können Angststörungen als Versuch der Kontrolle interpretiert werden?,"Sie stellen oft einen Versuch dar, Kontrolle in einer als bedrohlich oder unkontrollierbar erlebten Welt zu behalten oder zu gewinnen."
Warum ist das Bedürfnis nach Orientierung und Kontrolle bei Kindern alkoholkranker Väter verletzt?,"Durch Unzuverlässigkeit, Unkontrollierbarkeit und Volatilität des elterlichen Verhaltens."
Welche Auswirkung hat Armut auf die Orientierung und Kontrolle im Alltag von Kindern?,Sie führt zu eingeschränkter Planbarkeit der sozialen Teilhabe und oft zu einer selbstversorgenden Tagesstruktur.
Definiere das psychische Grundbedürfnis der Selbstwerterhöhung/-schutz.,"Das Bestreben, sich selbst als „gut“ zu empfinden und den eigenen Wert vor Verletzungen zu schützen."
Welche psychischen Störungen werden häufig durch Selbstwertprobleme verursacht oder aufrechterhalten?,Soziale Phobie und Depression.
Warum leiden Kinder in Armut häufiger unter einem verletzten Selbstwertgefühl?,"Aufgrund häufigerer schulischer Probleme, seltenerer Vereinsaktivitäten und geringerem Status in der Peergroup."
Was besagt das Lustprinzip nach Freud im Kontext der Grundbedürfnisse?,"Es ist das Bestreben, aversive Situationen zu vermeiden und angenehme Situationen aufzusuchen."
Welches Lernprinzip entspricht dem Bedürfnis nach Lustgewinn/Unlustvermeidung?,Die operante Verstärkung nach Skinner.
Warum ist der Lustgewinn bei Kindern in einer „kinderunfreundlichen“ Umgebung eingeschränkt?,Durch den Wegfall lustvoller Freizeitaktivitäten und den direkten Vergleich materieller Einschränkungen mit anderen.
Wie definierte Bowlby (1975) das Konstrukt der Bindung?,Als langandauerndes affektives Band zu nicht auswechselbaren Personen.
Nenne die vier üblichen Bindungskategorien nach Ainsworth et al. (1978).,"Sicher, unsicher-vermeidend, unsicher-ambivalent und desorganisiert."
Was untersuchte René Spitz (1945) bei Kleinkindern in Findelhäusern?,Die Auswirkungen von Deprivation und fehlender emotionaler Zuwendung trotz hoher Hygienestandards.
Welches Krankheitsbild beschrieb Spitz nach dreimonatiger Trennung von der Bezugsperson?,Die anaklitische Depression.
