id,category,question,optionA,optionB,optionC,optionD,correctOption
klinik-1,klinik,Definition: Klinische Psychologie,"Gedanken über das eigene Denken, wie z. B. „Meine Sorgen sind unkontrollierbar“ oder „Grübeln hilft mir beim Problemlösen“.","Die Dysthymie ist eine chronische, über mindestens zwei Jahre anhaltende depressive Verstimmung mit geringerem Schweregrad.","Teildisziplin der Psychologie, die sich mit psychischen Störungen und psychischen Aspekten somatischer Krankheiten befasst.","SNS-Zeit geht nicht zu Lasten der Lernzeit, aber intensive Nutzung während des Lernens korreliert leicht negativ mit Noten.",C
klinik-2,klinik,Welche zwei zentralen Wirkmechanismen zur Veränderung psychischer Störungen identifizierte Grawe (1998)?,Klären (Diagnostik/Einsicht) und Bewältigen (Problembearbeitung).,In der mittleren Kindheit und im frühen Jugendalter (8-16 Jahre).,"Aufmerksamkeit, Behalten, Reproduktionsfähigkeit und Motivation.","Planungsfähigkeit, Aufmerksamkeit, Simultanität und Sukzessivität.",A
klinik-3,klinik,Welche vier Systemebenen werden bei der Veränderung psychischer Störungen unterschieden?,Internal (innerhalb der Person liegend).,"Grundlagentheoretisch, angewandt und praktisch.",Eine erhöhte Mortalitätsrate von knapp 40\%.,"Einzelpersonen, Paare, Familien und Gruppen.",D
klinik-4,klinik,Warum gilt die Klinische Psychologie als „Hilfswissenschaft“ für das Sozialwesen?,Interpersonelle Traumata (z. B. Vergewaltigung) haben ein deutlich höheres Risiko zur Folge als zufällige Traumata (z. B. Naturkatastrophen).,Auslöser \rightarrow Wahrnehmung \rightarrow Gedanke „Gefahr“ \rightarrow Angst \rightarrow physiologische Veränderungen \rightarrow körperliche Symptome.,"Sie liefert das Basiswissen, um psychische Probleme der Klientel zu erkennen und zu verstehen, während das Sozialwesen den Fokus auf Beratung legt.","Die Tendenz, den Einfluss situationaler Faktoren zu unterschätzen und den Einfluss dispositionaler Faktoren (Persönlichkeit) zu überschätzen.",C
klinik-5,klinik,"Warum leiden laut Statistik mehr als 27,8\% der Bundesbürger an einer psychischen Störung?""","Es liegen alle Kernmerkmale der Magersucht vor, aber das Gewicht des Patienten befindet sich noch im Normalbereich.",Wiederholte Klagen über körperliche Symptome ohne ausreichenden organischen Befund trotz medizinischer Abklärung.,Häufiges „Body Scanning“ (Beobachten des Körpers) und die exzessive Suche nach Rückversicherung (Doctor Shopping).,Dieser Wert ergibt sich aus der Summe verschiedener Einzeldiagnosen und dem häufigen Auftreten von Komorbiditäten.,D
klinik-6,klinik,Was versteht man in der Klinischen Psychologie unter „Komorbidität“?,Das gleichzeitige Vorliegen von zwei oder mehr verschiedenen psychischen Störungen bei einer Person.,"Verhaltensweisen, die mit der Absicht ausgeführt werden, einer anderen Person oder Gruppe zu nützen.","Bei einer mindestens zwei Jahre anhaltenden Dauer mit multiplen, wechselnden körperlichen Symptomen.","Das Bestreben, sich selbst als „gut“ zu empfinden und den eigenen Wert vor Verletzungen zu schützen.",A
klinik-7,klinik,Definition: Psychische Störung,"Als eine Mehrzahl von Personen, die über längere Zeit in direktem Kontakt stehen und gemeinsame Ziele verfolgen.","Ein klinisch bedeutsames Verhaltens- oder psychisches Muster, das mit Leiden oder Beeinträchtigungen einhergeht.",Wiederholte Klagen über körperliche Symptome ohne ausreichenden organischen Befund trotz medizinischer Abklärung.,Graduierte Exposition (schrittweise Steigerung) und Massierte Exposition (Flooding; direkt höchste Intensität).,B
klinik-8,klinik,Wie viele zweistellige Hauptdiagnosen (z. B. F51) gibt es im ICD-10 Kapitel F?,Genetische Einflüsse und ein Dopaminmangel im Gehirn.,Es existieren insgesamt 79 verschiedene Hauptdiagnosen.,"Aufmerksamkeitsstörung, Überaktivität und Impulsivität.","Vorbereitung, Durchführung und Nachbereitung/Auswertung.",B
klinik-9,klinik,Was versteht man unter dem Begriff „Problemaktualisierung“?,"Die Untersuchung der Bereitschaft gewöhnlicher Menschen, einer Autorität gehorsam zu sein, selbst wenn dies anderen Schaden zufügt.","Das Ausmaß an Kritik, Feindseligkeit und emotionalem Überengagement, das Angehörige gegenüber einem kranken Familienmitglied zeigen.",Das Erlebbar-Machen der problematischen Erlebnisse und Verhaltensweisen innerhalb der therapeutischen oder beraterischen Situation.,"Altruismus bezeichnet Hilfeleistungen, die ohne Erwartung von äußeren Belohnungen, oft unter persönlichem Opfer, erbracht werden.",C
klinik-10,klinik,Was bedeutet „Ressourcenorientierung“ in der klinischen Arbeit?,"Wegen der extremen psychischen Belastung der Versuchspersonen, die glaubten, anderen Schmerzen zuzufügen.","Bei erheblichem Untergewicht, rapidem Gewichtsverlust oder lebensbedrohlichen somatischen Komplikationen.","Depressive Stimmung, Interessen- oder Freudlosigkeit sowie verminderter Antrieb/gesteigerte Ermüdbarkeit.","Die gezielte Nutzung vorhandener Stärken, Fähigkeiten und Potenziale des Klienten zur Problembewältigung.",D
