Wie definiert Gordon Allport die Sozialpsychologie?,"Als Versuch, zu verstehen, wie Denken, Fühlen und Verhalten durch die implizite oder explizite Anwesenheit anderer beeinflusst werden."
Auf welchen drei Ebenen wird die Sozialpsychologie laut den Vorlesungsfolien differenziert?,"Grundlagentheoretisch, angewandt und praktisch."
Was ist der Fokus der grundlagentheoretischen Ebene der Sozialpsychologie?,Die Erforschung allgemeiner Gesetzmäßigkeiten des sozialen Verhaltens durch Theorien und Experimente.
Womit befasst sich die angewandte Sozialpsychologie?,Mit der Evaluation und Optimierung von konkreten sozialen Problemen und Interaktionen in Praxisfeldern.
Was kennzeichnet die praktische Sozialpsychologie im Kontext der Sozialen Arbeit?,"Die direkte Anwendung psychologischen Wissens zur Gestaltung konkreter Interventionen, wie z. B. Unterricht oder Krisenberatung."
Was war das primäre Ziel des Milgram-Experiments?,"Die Untersuchung der Bereitschaft gewöhnlicher Menschen, einer Autorität gehorsam zu sein, selbst wenn dies anderen Schaden zufügt."
Wie hoch war die Gehorsamsrate (bis 450 Volt) im klassischen Milgram-Experiment?,Etwa 65 % der Versuchspersonen gingen bis zur maximalen Schockstufe.
In welchem historischen Forschungskontext stand das Milgram-Experiment?,In der Faschismusforschung zur Erklärung von Massengehorsam im Nationalsozialismus.
Definiere den Begriff 'Sozialer Einfluss'.,"Die Veränderung von Einstellungen, Überzeugungen oder Verhaltensweisen durch die Präsenz oder Handlungen anderer Personen."
Was versteht man unter 'Konformität'?,Die Anpassung des eigenen Verhaltens oder Denkens an einen Gruppenstandard aufgrund von realem oder eingebildetem Gruppendruck.
"Welche zentrale Bedingung muss laut Forschung erfüllt sein, damit eine Minderheit sozialen Einfluss ausüben kann?",Die Minderheit muss ihre Position konsistent und beharrlich vertreten.
"Nenne die vier Ebenen sozialer Systeme, die für das Verständnis menschlichen Verhaltens relevant sind.","Individuum, Gruppe, Organisation und Gesellschaft."
Wie wird eine 'Gruppe' in der Sozialpsychologie definiert?,"Als eine Mehrzahl von Personen, die über längere Zeit in direktem Kontakt stehen und gemeinsame Ziele verfolgen."
Was ist ein wesentliches psychologisches Merkmal einer Gruppe?,Die Ausbildung eines Wir-Gefühls (Kohäsion) und die Entwicklung gemeinsamer Normen.
Was beschreibt der Prozess der 'Gruppensozialisation'?,Die wechselseitige Anpassung zwischen Individuum und Gruppe über die Zeit hinweg.
Was besagt das Phänomen der 'Sozialen Erleichterung' (Social Facilitation)?,Dass die Anwesenheit anderer die Leistung bei einfachen oder gut gelernten Aufgaben verbessert.
Wann führt die Anwesenheit anderer zu einer Leistungsminderung (Social Inhibition)?,"Bei der Bearbeitung komplexer oder neuer Aufgaben, die noch nicht sicher beherrscht werden."
Definiere 'prosoziales Verhalten'.,"Verhaltensweisen, die mit der Absicht ausgeführt werden, einer anderen Person oder Gruppe zu nützen."
